name,id,path,gist_url
La dimensión espacial en las formas musicales,la_dimension_espacial_en_las_formas_musicales,Los nombres de la música/La música como ente acústico/Continentes de la expresión musical: formas y unidades/Continentes con morfología especificada o formas musicales estructuradas/La dimensión espacial en las formas musicales,https://gist.github.com/user/leximus_la_dimension_espacial_en_las_formas_musicales
La dimensión temporal en las formas musicales,la_dimension_temporal_en_las_formas_musicales,Los nombres de la música/La música como ente acústico/Continentes de la expresión musical: formas y unidades/Continentes con morfología especificada o formas musicales estructuradas/La dimensión temporal en las formas musicales,https://gist.github.com/user/leximus_la_dimension_temporal_en_las_formas_musicales
La dimensión espacio-temporal en las formas musicales,la_dimension_espacio_temporal_en_las_formas_musicales,Los nombres de la música/La música como ente acústico/Continentes de la expresión musical: formas y unidades/Continentes con morfología especificada o formas musicales estructuradas/La dimensión espacio-temporal en las formas musicales,https://gist.github.com/user/leximus_la_dimension_espacio_temporal_en_las_formas_musicales
"Lo extramusical en las formas musicales (elementos textuales, coreográficos, etc.)",lo_extramusical_en_las_formas_musicales_elementos_textuales_coreograficos_etc,"Los nombres de la música/La música como ente acústico/Continentes de la expresión musical: formas y unidades/Continentes con morfología especificada o formas musicales estructuradas/Lo extramusical en las formas musicales (elementos textuales, coreográficos, etc.)",https://gist.github.com/user/leximus_lo_extramusical_en_las_formas_musicales_elementos_textuales_coreograficos_etc
Continentes sin morfología especificada o unidades musicales,continentes_sin_morfologia_especificada_o_unidades_musicales,Los nombres de la música/La música como ente acústico/Continentes de la expresión musical: formas y unidades/Continentes sin morfología especificada o unidades musicales,https://gist.github.com/user/leximus_continentes_sin_morfologia_especificada_o_unidades_musicales
Unidades musicales según efectivos musicales,unidades_musicales_segun_efectivos_musicales,Los nombres de la música/La música como ente acústico/Continentes de la expresión musical: formas y unidades/Continentes sin morfología especificada o unidades musicales/Unidades musicales según efectivos musicales,https://gist.github.com/user/leximus_unidades_musicales_segun_efectivos_musicales
Unidades musicales según su extensión o disposición interna,unidades_musicales_segun_su_extension_o_disposicion_interna,Los nombres de la música/La música como ente acústico/Continentes de la expresión musical: formas y unidades/Continentes sin morfología especificada o unidades musicales/Unidades musicales según su extensión o disposición interna,https://gist.github.com/user/leximus_unidades_musicales_segun_su_extension_o_disposicion_interna
Lo extramusical en las unidades musicales,lo_extramusical_en_las_unidades_musicales,Los nombres de la música/La música como ente acústico/Continentes de la expresión musical: formas y unidades/Continentes sin morfología especificada o unidades musicales/Lo extramusical en las unidades musicales,https://gist.github.com/user/leximus_lo_extramusical_en_las_unidades_musicales
Unidades musicales banalizadas,unidades_musicales_banalizadas,Los nombres de la música/La música como ente acústico/Continentes de la expresión musical: formas y unidades/Unidades musicales banalizadas,https://gist.github.com/user/leximus_unidades_musicales_banalizadas
Segmentaciones de los continentes musicales,segmentaciones_de_los_continentes_musicales,Los nombres de la música/La música como ente acústico/Continentes de la expresión musical: formas y unidades/Segmentaciones de los continentes musicales,https://gist.github.com/user/leximus_segmentaciones_de_los_continentes_musicales
Símbolos y convenciones gráficas de la notación musical relativas a la segmentación de los continentes,simbolos_y_convenciones_graficas_de_la_notacion_musical_relativas_a_la_segmentacion_de_los_continentes,Los nombres de la música/La música como ente acústico/Continentes de la expresión musical: formas y unidades/Símbolos y convenciones gráficas de la notación musical relativas a la segmentación de los continentes,https://gist.github.com/user/leximus_simbolos_y_convenciones_graficas_de_la_notacion_musical_relativas_a_la_segmentacion_de_los_continentes
Géneros musicales,generos_musicales,Los nombres de la música/La música como ente acústico/Géneros musicales,https://gist.github.com/user/leximus_generos_musicales
Los géneros como entidades multidimensionales,los_generos_como_entidades_multidimensionales,Los nombres de la música/La música como ente acústico/Géneros musicales/Los géneros como entidades multidimensionales,https://gist.github.com/user/leximus_los_generos_como_entidades_multidimensionales
Género como término comodín,genero_como_termino_comodin,Los nombres de la música/La música como ente acústico/Géneros musicales/Género como término comodín,https://gist.github.com/user/leximus_genero_como_termino_comodin
Intercambiable con estilo,intercambiable_con_estilo,Los nombres de la música/La música como ente acústico/Géneros musicales/Género como término comodín/Intercambiable con estilo,https://gist.github.com/user/leximus_intercambiable_con_estilo
Intercambiable con forma/continente,intercambiable_con_forma_continente,Los nombres de la música/La música como ente acústico/Géneros musicales/Género como término comodín/Intercambiable con forma/continente,https://gist.github.com/user/leximus_intercambiable_con_forma_continente
Intercambiable con plantilla/medios musicales,intercambiable_con_plantilla_medios_musicales,Los nombres de la música/La música como ente acústico/Géneros musicales/Género como término comodín/Intercambiable con plantilla/medios musicales,https://gist.github.com/user/leximus_intercambiable_con_plantilla_medios_musicales
Género como término superordinado,genero_como_termino_superordinado,Los nombres de la música/La música como ente acústico/Géneros musicales/Género como término superordinado,https://gist.github.com/user/leximus_genero_como_termino_superordinado
