Original Path,URL-friendly Path,UUID
Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical,los-nombres-de-la-musicala-faceta-eventiva-de-la-musicalos-instrumentos-y-medios-materiales-de-la-accion-musical,abf1d2c7-bed7-49ef-a06c-52e8a0c03c9e
Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas,los-nombres-de-la-musicala-faceta-eventiva-de-la-musicalos-instrumentos-y-medios-materiales-de-la-accion-musicalfamilias-organologicas,799a6fe5-cfa7-459d-9451-d4cd4a0558f8
Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Idiófonos (y sus componentes),los-nombres-de-la-musicala-faceta-eventiva-de-la-musicalos-instrumentos-y-medios-materiales-de-la-accion-musicalfamilias-organologicasidiofonos-y-sus-componentes,988de8a8-1e34-48e1-847c-597ed11ebb53
Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Membranófonos (y sus componentes),los-nombres-de-la-musicala-faceta-eventiva-de-la-musicalos-instrumentos-y-medios-materiales-de-la-accion-musicalfamilias-organologicasmembranofonos-y-sus-componentes,6d1f9ad0-e1b9-43cb-b836-85aeab839761
Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Cordófonos (y sus componentes),los-nombres-de-la-musicala-faceta-eventiva-de-la-musicalos-instrumentos-y-medios-materiales-de-la-accion-musicalfamilias-organologicascordofonos-y-sus-componentes,68d4aaee-edaf-4150-b2f7-72a6ba913b41
Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Aerófonos (y sus componentes),los-nombres-de-la-musicala-faceta-eventiva-de-la-musicalos-instrumentos-y-medios-materiales-de-la-accion-musicalfamilias-organologicasaerofonos-y-sus-componentes,92cd062a-872e-47e8-b7a1-ec22bc0fdb01
Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Electrófonos (y sus componentes),los-nombres-de-la-musicala-faceta-eventiva-de-la-musicalos-instrumentos-y-medios-materiales-de-la-accion-musicalfamilias-organologicaselectrofonos-y-sus-componentes,429e9bc7-76b5-48e5-b874-7975adc670de
Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Otros dispositivos organológicos,los-nombres-de-la-musicala-faceta-eventiva-de-la-musicalos-instrumentos-y-medios-materiales-de-la-accion-musicalfamilias-organologicasotros-dispositivos-organologicos,dde5a3a2-7650-4634-8b03-00db622ce17c
Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Otros medios materiales que facilitan la actividad musical,los-nombres-de-la-musicala-faceta-eventiva-de-la-musicalos-instrumentos-y-medios-materiales-de-la-accion-musicalotros-medios-materiales-que-facilitan-la-actividad-musical,edb57e0a-85c7-473b-bf0e-df2e95d440b2
Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Otros dispositivos empleados para la grabación y reproducción,los-nombres-de-la-musicala-faceta-eventiva-de-la-musicalos-instrumentos-y-medios-materiales-de-la-accion-musicalotros-dispositivos-empleados-para-la-grabacion-y-reproduccion,de5f36d9-efc6-48f7-9126-9843aa928de6
